interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,708ba542-8793-4d26-897d-bbadd556f62c,11,1646411965.3422022,1646411965.654124,47.0
25,708ba542-8793-4d26-897d-bbadd556f62c,11,1646411965.3422022,1646411965.654124,47.0
25,361c3531-fce9-40f1-8994-af7abb7725b6,8,1646411965.3405209,1646411965.65594,139.0
25,88dc8065-0f91-4f97-8c6f-d6d19fb19996,5,1646411965.340715,1646411965.657783,132.0
25,7ef058f5-9ea9-4de9-ba39-54c20b7630ea,13,1646411965.343694,1646411965.662388,57.0
25,4b9e7db4-6e3a-4388-83d5-61d0e7fb3994,3,1646411965.3474429,1646411965.67201,50.0
25,be4cb9c6-fa32-4a6a-ba4b-462b104c428d,7,1646411965.362442,1646411965.673793,17.0
25,5fdf6761-70d7-4062-b808-c8061e4337a5,2,1646411965.3528278,1646411965.6746728,106.0
25,41c96242-5d46-4b94-8861-5da7894405b6,12,1646411965.354455,1646411965.676331,52.0
25,c0fe49de-5a01-4751-9c81-ae524ac2c171,6,1646411965.3383648,1646411965.676238,185.0
25,1dfd816a-c538-4d5d-a046-d33e5535725c,15,1646411965.36772,1646411965.683864,67.0
25,b67744b7-fbdb-44a5-b9ad-115f92f0ba62,4,1646411965.365298,1646411965.679276,110.0
25,accb8183-e99a-4f3b-a2dd-41e1db7f5410,1,1646411965.374014,1646411965.684063,66.0
25,a5d2f743-03c5-411c-988f-15cf42f0d956,14,1646411965.365246,1646411965.689489,156.0
25,59edca00-1582-404d-9274-b1543722d2a9,0,1646411965.3551402,1646411965.691197,197.0
25,5143c56b-633b-4f1a-9c85-ce2d12ae4911,10,1646411965.36382,1646411965.695812,207.0
25,977f3448-7764-47d4-a953-d8065b8b0805,26,1646411965.729066,1646411965.8773189,233.0
25,45094559-9a48-4c7c-9901-8adf541eedb5,21,1646411965.6565828,1646411965.801224,20.0
25,4b59d44c-a9a1-48d5-b6d6-05a56eb6eb95,17,1646411965.6589172,1646411965.812799,116.0
25,4ba61371-a5d2-46ec-9770-7ffd70284b1f,20,1646411965.6779,1646411965.834825,35.0
25,ccd9c3df-f7fd-4981-9923-7aa42e92d024,22,1646411965.6756768,1646411965.839832,115.0
25,5f8f7b37-2876-4465-8128-404d478f5459,19,1646411965.679296,1646411965.845074,100.0
25,b0b4240f-78bc-4d22-bacc-9db381585fec,18,1646411965.687695,1646411965.846168,88.0
25,0728c354-f2e6-4636-9ceb-1ca7e315e07d,24,1646411965.687142,1646411965.854617,174.0
25,4c49fac0-70db-4110-bc1d-bc8d1ac59752,16,1646411965.6938298,1646411965.85527,114.0
25,3fcc8a83-4dc4-46b1-952c-21a2611e9bde,23,1646411965.7141051,1646411965.857951,20.0
50,708ba542-8793-4d26-897d-bbadd556f62c,11,1646411965.3422022,1646411965.654124,47.0
50,5d4b43db-3ae0-47c9-b847-bd4574c02c68,35,1646411966.0033212,1646411966.095712,82.0
50,be31ffe3-0db1-4e5b-9240-5b20ed3ac68e,36,1646411966.023683,1646411966.117745,43.0
50,7ef058f5-9ea9-4de9-ba39-54c20b7630ea,13,1646411965.343694,1646411965.662388,57.0
50,4b9e7db4-6e3a-4388-83d5-61d0e7fb3994,3,1646411965.3474429,1646411965.67201,50.0
50,be4cb9c6-fa32-4a6a-ba4b-462b104c428d,7,1646411965.362442,1646411965.673793,17.0
50,f2135ae6-7fcd-4d15-8c3a-1a3af0bd2608,44,1646411966.1588402,1646411966.252372,17.0
50,41c96242-5d46-4b94-8861-5da7894405b6,12,1646411965.354455,1646411965.676331,52.0
50,29b9585a-269b-4703-9858-45ed5c958b8a,31,1646411965.8981628,1646411965.9950871,12.0
50,1dfd816a-c538-4d5d-a046-d33e5535725c,15,1646411965.36772,1646411965.683864,67.0
50,17009546-7aa5-479a-8318-e3d231eb10b3,41,1646411966.094976,1646411966.188788,31.0
50,accb8183-e99a-4f3b-a2dd-41e1db7f5410,1,1646411965.374014,1646411965.684063,66.0
50,59798753-9baa-43df-8a62-fcf6d9bf6f9c,48,1646411966.217217,1646411966.3174798,18.0
50,27ac5bda-b0ec-4519-b181-32acf2c5fd6b,29,1646411965.842721,1646411965.93957,38.0
50,49f96efd-195f-41d6-a95d-a273b4eab480,33,1646411965.918551,1646411966.0084631,20.0
50,5e7d597f-ed8c-41cc-a37a-0d4af80d5e67,27,1646411965.750165,1646411965.883339,52.0
50,45094559-9a48-4c7c-9901-8adf541eedb5,21,1646411965.6565828,1646411965.801224,20.0
50,227f6d25-5a23-47c4-b826-e8e97d6341d0,37,1646411966.0353339,1646411966.125943,17.0
50,4ba61371-a5d2-46ec-9770-7ffd70284b1f,20,1646411965.6779,1646411965.834825,35.0
50,e0c316b9-131b-4624-a74c-0db1ca6fbff9,39,1646411966.0683599,1646411966.1708019,20.0
50,d6f2c284-df77-48dd-9dee-75f15faef3c5,46,1646411966.190482,1646411966.292256,64.0
50,b0b4240f-78bc-4d22-bacc-9db381585fec,18,1646411965.687695,1646411965.846168,88.0
50,4d9c0b10-93ee-4855-a710-b1bcbc305e2f,32,1646411965.9045131,1646411965.9985542,39.0
50,91c3e8f6-3259-4123-a21b-5eaef9b8476d,40,1646411966.082829,1646411966.1811771,44.0
50,3fcc8a83-4dc4-46b1-952c-21a2611e9bde,23,1646411965.7141051,1646411965.857951,20.0
75,708ba542-8793-4d26-897d-bbadd556f62c,11,1646411965.3422022,1646411965.654124,47.0
75,f1a9d9d4-dc5b-4cb0-8455-cfaa49f04487,59,1646411966.405389,1646411966.505514,51.0
75,be31ffe3-0db1-4e5b-9240-5b20ed3ac68e,36,1646411966.023683,1646411966.117745,43.0
75,7ef058f5-9ea9-4de9-ba39-54c20b7630ea,13,1646411965.343694,1646411965.662388,57.0
75,4b9e7db4-6e3a-4388-83d5-61d0e7fb3994,3,1646411965.3474429,1646411965.67201,50.0
75,be4cb9c6-fa32-4a6a-ba4b-462b104c428d,7,1646411965.362442,1646411965.673793,17.0
75,f2135ae6-7fcd-4d15-8c3a-1a3af0bd2608,44,1646411966.1588402,1646411966.252372,17.0
75,41c96242-5d46-4b94-8861-5da7894405b6,12,1646411965.354455,1646411965.676331,52.0
75,29b9585a-269b-4703-9858-45ed5c958b8a,31,1646411965.8981628,1646411965.9950871,12.0
75,c1352c4d-4a25-411d-8560-76b1e52b1013,66,1646411966.538882,1646411966.635495,29.0
75,17009546-7aa5-479a-8318-e3d231eb10b3,41,1646411966.094976,1646411966.188788,31.0
75,1a21156a-937c-4afd-89da-e9f342d7d18b,69,1646411966.594382,1646411966.693095,54.0
75,59798753-9baa-43df-8a62-fcf6d9bf6f9c,48,1646411966.217217,1646411966.3174798,18.0
75,27ac5bda-b0ec-4519-b181-32acf2c5fd6b,29,1646411965.842721,1646411965.93957,38.0
75,49f96efd-195f-41d6-a95d-a273b4eab480,33,1646411965.918551,1646411966.0084631,20.0
75,5e7d597f-ed8c-41cc-a37a-0d4af80d5e67,27,1646411965.750165,1646411965.883339,52.0
75,45094559-9a48-4c7c-9901-8adf541eedb5,21,1646411965.6565828,1646411965.801224,20.0
75,227f6d25-5a23-47c4-b826-e8e97d6341d0,37,1646411966.0353339,1646411966.125943,17.0
75,4ba61371-a5d2-46ec-9770-7ffd70284b1f,20,1646411965.6779,1646411965.834825,35.0
75,e0c316b9-131b-4624-a74c-0db1ca6fbff9,39,1646411966.0683599,1646411966.1708019,20.0
75,add445d6-a27b-4e7d-9ab0-df6ca403aa51,74,1646411966.6656241,1646411966.7668421,55.0
75,aa66c087-c1a5-4247-af22-7cad19206d1d,75,1646411966.6868942,1646411966.79882,16.0
75,4d9c0b10-93ee-4855-a710-b1bcbc305e2f,32,1646411965.9045131,1646411965.9985542,39.0
75,91c3e8f6-3259-4123-a21b-5eaef9b8476d,40,1646411966.082829,1646411966.1811771,44.0
75,3fcc8a83-4dc4-46b1-952c-21a2611e9bde,23,1646411965.7141051,1646411965.857951,20.0
100,8a61bc84-5543-45d8-832e-3e210e6d1d94,100,1646411967.1198552,1646411967.22327,17.0
100,0ed25d11-e2ac-42c3-926e-e32068f9844a,93,1646411966.971437,1646411967.0737011,32.0
100,be31ffe3-0db1-4e5b-9240-5b20ed3ac68e,36,1646411966.023683,1646411966.117745,43.0
100,d71e0c79-6073-474d-a2f7-ee2cc1ba9bd5,87,1646411966.8867872,1646411966.990222,11.0
100,4bc1fd4b-120e-4c01-82f4-1404934206fa,98,1646411967.082519,1646411967.1787462,15.0
100,be4cb9c6-fa32-4a6a-ba4b-462b104c428d,7,1646411965.362442,1646411965.673793,17.0
100,f2135ae6-7fcd-4d15-8c3a-1a3af0bd2608,44,1646411966.1588402,1646411966.252372,17.0
100,d3dfb0d1-d3b8-4534-9323-924181f5900a,90,1646411966.9193668,1646411967.027925,47.0
100,29b9585a-269b-4703-9858-45ed5c958b8a,31,1646411965.8981628,1646411965.9950871,12.0
100,c1352c4d-4a25-411d-8560-76b1e52b1013,66,1646411966.538882,1646411966.635495,29.0
100,17009546-7aa5-479a-8318-e3d231eb10b3,41,1646411966.094976,1646411966.188788,31.0
100,4a655ce2-8ca5-4407-83bb-265085384054,89,1646411966.905317,1646411967.008218,26.0
100,59798753-9baa-43df-8a62-fcf6d9bf6f9c,48,1646411966.217217,1646411966.3174798,18.0
100,27ac5bda-b0ec-4519-b181-32acf2c5fd6b,29,1646411965.842721,1646411965.93957,38.0
100,49f96efd-195f-41d6-a95d-a273b4eab480,33,1646411965.918551,1646411966.0084631,20.0
100,8d739d3a-f18b-4e78-a213-9c87ebe4eb18,92,1646411966.9571571,1646411967.0612311,17.0
100,45094559-9a48-4c7c-9901-8adf541eedb5,21,1646411965.6565828,1646411965.801224,20.0
100,227f6d25-5a23-47c4-b826-e8e97d6341d0,37,1646411966.0353339,1646411966.125943,17.0
100,4ba61371-a5d2-46ec-9770-7ffd70284b1f,20,1646411965.6779,1646411965.834825,35.0
100,e0c316b9-131b-4624-a74c-0db1ca6fbff9,39,1646411966.0683599,1646411966.1708019,20.0
100,e39af57c-a3c4-4934-8fca-70b44e583b13,78,1646411966.727249,1646411966.825398,13.0
100,aa66c087-c1a5-4247-af22-7cad19206d1d,75,1646411966.6868942,1646411966.79882,16.0
100,4d9c0b10-93ee-4855-a710-b1bcbc305e2f,32,1646411965.9045131,1646411965.9985542,39.0
100,91c3e8f6-3259-4123-a21b-5eaef9b8476d,40,1646411966.082829,1646411966.1811771,44.0
100,3fcc8a83-4dc4-46b1-952c-21a2611e9bde,23,1646411965.7141051,1646411965.857951,20.0
125,8a61bc84-5543-45d8-832e-3e210e6d1d94,100,1646411967.1198552,1646411967.22327,17.0
125,0ed25d11-e2ac-42c3-926e-e32068f9844a,93,1646411966.971437,1646411967.0737011,32.0
125,192feb9e-75a2-4301-9a32-f7da73401801,115,1646411967.3563552,1646411967.461306,35.0
125,d71e0c79-6073-474d-a2f7-ee2cc1ba9bd5,87,1646411966.8867872,1646411966.990222,11.0
125,4bc1fd4b-120e-4c01-82f4-1404934206fa,98,1646411967.082519,1646411967.1787462,15.0
125,be4cb9c6-fa32-4a6a-ba4b-462b104c428d,7,1646411965.362442,1646411965.673793,17.0
125,f2135ae6-7fcd-4d15-8c3a-1a3af0bd2608,44,1646411966.1588402,1646411966.252372,17.0
125,5990fe07-6b1d-4bd9-9e3d-aaafc701fb62,104,1646411967.172775,1646411967.277236,28.0
125,29b9585a-269b-4703-9858-45ed5c958b8a,31,1646411965.8981628,1646411965.9950871,12.0
125,c1352c4d-4a25-411d-8560-76b1e52b1013,66,1646411966.538882,1646411966.635495,29.0
125,17009546-7aa5-479a-8318-e3d231eb10b3,41,1646411966.094976,1646411966.188788,31.0
125,4a655ce2-8ca5-4407-83bb-265085384054,89,1646411966.905317,1646411967.008218,26.0
125,59798753-9baa-43df-8a62-fcf6d9bf6f9c,48,1646411966.217217,1646411966.3174798,18.0
125,27ac5bda-b0ec-4519-b181-32acf2c5fd6b,29,1646411965.842721,1646411965.93957,38.0
