hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
thelio,12326,d21b43d5-6096-43cc-a34e-e1d3696c4557,46,1623439507.5652204,1623439513.7948554,0.003988140168933571
thelio,12326,68a92820-8428-44ec-b444-2c68c39723bb,14,1623439507.5414228,1623439514.1868577,0.0025896752439138644
thelio,12056,f23f6524-587c-45dc-802a-ad1eb37c7adc,12,1623439507.5410736,1623439514.4636385,0.0023629251780151288
thelio,12228,c39a326f-a833-4b64-9de1-a48516158bd8,13,1623439507.5415094,1623439514.6205804,0.0038759542962375874
thelio,12326,440a11b0-109d-4e70-9ed2-02f89daedf57,30,1623439507.5518167,1623439514.832222,0.0036804099653540145
thelio,12056,6e036e73-44c4-4446-9785-81849d8f7748,44,1623439507.5603602,1623439514.9522104,0.0027537108840743054
thelio,12228,9cdd7726-a246-4889-a719-71dd0a4a89e5,45,1623439507.5649586,1623439514.971037,0.0033832771754312777
thelio,12228,bb763a71-f9b9-47ac-8346-7d1c09857baa,29,1623439507.5519404,1623439515.06446,0.004877712880040984
thelio,12043,4d237074-5b74-4aa3-b4f5-7fb496d4b8cb,11,1623439507.5447507,1623439515.1203887,0.0019529810903173978
thelio,12021,c85504c0-1d0b-4869-b583-d0f3dedd1aa2,57,1623439507.5810356,1623439515.66268,0.0026062435531250365
thelio,12031,bbadde3a-fd64-4f69-a88e-5bdf5fd962c0,24,1623439507.5678797,1623439515.6924427,0.0028321373109453122
thelio,12052,203200f5-65e0-4a93-a393-d5fd0d9dcb3f,35,1623439507.5674615,1623439515.7304215,0.002749590550220222
thelio,12031,2de94d7b-0054-4372-9f9f-c425270f7336,40,1623439507.578162,1623439515.768752,0.0026170483092662943
thelio,12258,4da6859e-dee7-42fa-82d6-154081bf0d48,15,1623439507.5421944,1623439515.868892,0.002658812347724717
thelio,12031,58841ccb-453e-4072-a146-409493c4937a,56,1623439507.586023,1623439516.0585952,0.0023557048970174626
thelio,12021,0ab76fb2-abfb-4aac-bd21-2b5b93b80263,41,1623439507.5636916,1623439516.131419,0.002685318959596332
thelio,12027,3cff90ea-c20b-4d9c-af7f-caf1daef73c1,21,1623439507.5641718,1623439516.1679153,0.0021393598618275273
thelio,12031,cf492743-4561-445a-9a1f-c3541b0ea641,8,1623439507.5602193,1623439516.1805089,0.0032323883689358785
thelio,12021,7a7c517e-ba1b-4cf9-a406-13bf10025826,25,1623439507.5583565,1623439516.2667625,0.0024514252271009163
thelio,12021,5d74495c-bc20-4df3-bf6d-26448d2ef4b5,9,1623439507.5447717,1623439516.3781145,0.0033556493620118316
thelio,12023,acf41104-c589-40a4-a909-119e8e3cea5e,0,1623439507.5491257,1623439516.4184105,0.0021185884504217813
thelio,12043,f3371947-131d-47fb-b007-4a4c16079040,59,1623439507.5734694,1623439516.455998,0.0041096165359281855
thelio,12052,ef1392bb-8612-411c-9ddf-474e83516fe0,3,1623439507.548964,1623439516.5307145,0.001873069478229198
thelio,12052,9725e2fb-d900-4b5c-8efa-3eba8d296004,19,1623439507.5593665,1623439516.5446274,0.0026358174798120685
thelio,12027,37a8802b-d6eb-4f26-8fa8-fa35af7814d4,37,1623439507.5735126,1623439516.6591272,0.0034548944750791935
thelio,12027,ff4baf7e-71cd-4b86-a3dd-f84ee525f171,5,1623439507.553788,1623439516.6880934,0.003225780567987783
thelio,12027,9bb2fb76-e26f-4212-ba4e-8ccb34954303,53,1623439507.5826104,1623439516.7334075,0.002675229648399918
thelio,12037,543de782-0645-4591-b3e7-e94ad50097e0,22,1623439507.5589187,1623439517.0652952,0.0037699111273839445
thelio,12023,ba91bbb7-6188-4ce2-97c0-760dfecd8a2a,48,1623439507.57892,1623439517.1930041,0.0030517973747743736
thelio,12037,0a564d93-9caf-4281-af27-34e5ac0a116b,6,1623439507.5513537,1623439517.1138606,0.003092022379097968
thelio,12037,1faadb53-b669-43d6-9778-af23b5274ca4,54,1623439507.573815,1623439517.1338859,0.0031986723733330572
thelio,12037,9fee1f92-487b-410f-adc3-c2a56b8a4e94,38,1623439507.5662308,1623439517.2418282,0.003307174658730697
thelio,12258,c425fa80-14e3-4d62-bfc5-e68833fe43e1,31,1623439507.5526469,1623439517.297714,0.006074474970890014
thelio,12043,db6b4d50-1417-48c4-807e-63cb5b210466,27,1623439507.5550892,1623439517.2994156,0.004724471236613301
thelio,12023,04fdd14f-3d08-4063-8840-dc45e8c4c032,32,1623439507.567019,1623439517.307993,0.0028905565950140266
thelio,12258,bb6f1ca8-31fc-4d15-9baa-15b5060c2e3a,47,1623439507.5667722,1623439517.3197248,0.003946910026722196
thelio,12040,e11daf07-4ee8-405d-af02-36589de8560d,58,1623439507.5760908,1623439517.3851206,0.003089272694213013
thelio,12045,03a7dbdd-e98b-4a2d-894a-55a70cce9db4,39,1623439507.5673497,1623439517.4306595,0.003321279893779194
thelio,12043,23a658e3-991c-4c1e-ac01-98228203f692,43,1623439507.565869,1623439517.499773,0.003117084977301715
thelio,12017,5532a8a5-b1c3-4d94-8f68-735329a39f9b,33,1623439507.5634444,1623439517.5407605,0.0033451104973184374
thelio,12017,486c776f-4619-4625-94f0-08fcb1c02eff,1,1623439507.5485654,1623439517.637354,0.0021336253445445865
thelio,12052,a7c66c4e-ccee-42b9-a31f-4755d04882aa,51,1623439507.5839403,1623439517.7050326,0.005662944829539046
thelio,12048,5a901737-c886-4bf3-bb64-ea1cfaed1e87,18,1623439507.5545418,1623439517.742902,0.0034805085866251003
thelio,12040,3dae7bab-d3b0-4f75-ba20-74fc924017d9,26,1623439507.5631049,1623439517.7669156,0.0025326156166540063
thelio,12326,904bdd39-d194-4877-9276-4f94cea4c4f0,60,1623439514.0981135,1623439517.8855722,0.0024922499937987137
thelio,12040,da61bca2-8e71-47a3-bf6a-9ea7933b6017,10,1623439507.5508502,1623439517.9053004,0.00394939043569515
thelio,12048,3162bf27-26a8-4e03-acb1-eac3ae15b2c2,50,1623439507.5762072,1623439517.9831688,0.003416543554090766
thelio,12048,6732a733-d9fc-49c3-893e-b53f38ece2a8,34,1623439507.5597684,1623439517.9970846,0.0028461726756195092
thelio,12017,a0616699-eab9-4682-8acc-89cfc2207115,49,1623439507.5712676,1623439518.1164885,0.0038108998536483148
thelio,12056,1d511a56-4e41-4453-91b1-02f1d4750b26,28,1623439507.555016,1623439518.1180093,0.008051052752145241
thelio,12045,707959a9-33fc-4aa4-9a03-f5b659391571,55,1623439507.578276,1623439518.1337643,0.0035124548960559416
thelio,12045,d0cfe45e-5ffb-4b20-92f4-8433b0677671,7,1623439507.543788,1623439518.1763353,0.004261420420052328
thelio,12045,04978155-4ac1-46ed-b3fa-cf55203e73c0,23,1623439507.5567172,1623439518.245004,0.003709103406488487
thelio,12023,bafe6822-47ae-45cd-bb19-bbec87fdfa4d,16,1623439507.5565522,1623439518.3477898,0.006953264533348297
thelio,12056,cdf4dc2e-35b6-4507-b45e-d874a7d3d068,61,1623439514.6027477,1623439518.4413302,0.002079775834790004
thelio,12014,b6f0b2c8-5ba3-4e11-acdf-3a3a0c7b5f10,4,1623439507.543003,1623439518.4766963,0.002938767868258186
thelio,12017,8dae7b67-7523-4b7d-b3f1-e130315e99b5,17,1623439507.5560687,1623439518.6047459,0.0056901366211114315
thelio,12056,6782688c-bf7d-4d6d-a2a4-feaad2946555,64,1623439515.0996592,1623439518.624597,0.0024922499937987137
thelio,12040,c7ac5602-d085-4052-91c3-35b6dee50d11,42,1623439507.56853,1623439518.6737494,0.007485707723539528
thelio,12228,13a28d77-7289-4efb-8557-0bc300436f57,62,1623439514.7575383,1623439518.937721,0.004309338230553125
thelio,12048,64c42009-eed4-4696-aed6-3dff2f8b3747,2,1623439507.5492568,1623439518.9695182,0.006753428609920087
thelio,12228,7a1c3595-57d3-405a-9766-cae7e3664462,65,1623439515.2214763,1623439519.1131873,0.0033557490487007347
thelio,12043,e8705e8e-1c17-43a7-8780-5a1de8b0b8f2,68,1623439515.5373404,1623439519.2943168,0.0028593972532880737
thelio,12031,b79c0518-1f80-436a-8a42-c56cb846c850,69,1623439515.8158562,1623439519.4788814,0.0028593972532880737
thelio,12014,d4d2a3a2-ba8f-4a5c-956b-54d40b56c328,52,1623439507.568309,1623439519.853936,0.0054221522055820075
thelio,12031,3a855a14-0672-45bd-9293-54a1cfa15298,71,1623439516.33873,1623439519.86952,0.0034018257026187854
thelio,12037,9c9a4d92-c393-4861-a820-b58c9119ae8b,77,1623439517.277256,1623439519.9313416,0.002218996838447891
thelio,12258,32764e03-c813-46f7-b6ed-2368bccfeffa,78,1623439517.3878763,1623439519.9351208,0.004309338230553125
thelio,12027,8e482825-db1b-4c19-b927-692b1513e540,75,1623439516.7940907,1623439519.9435663,0.0029442882585767366
thelio,12326,5150906b-e59a-4df9-b83a-1297cdd93d81,66,1623439515.2827032,1623439519.9497929,0.004309338230553125
thelio,12027,569a7c9b-f832-4e1e-9d68-1b3b0af02e26,76,1623439516.9741552,1623439519.999774,0.002218996838447891
thelio,12326,aef5a5c0-7dae-4431-af1d-1f2a26fbabd8,63,1623439514.9707794,1623439520.5965946,0.00918361680173884
thelio,12031,908467c2-8fd8-44aa-83ef-664b5c887a64,73,1623439516.6050363,1623439520.742648,0.0029155071503339835
thelio,12043,fce6720b-d040-4b8d-a308-d064f1ae18fd,80,1623439517.6692424,1623439520.790496,0.0034890988027509
thelio,12014,7461c6dd-da98-4158-aa6c-a1e6f113ec04,36,1623439507.5578957,1623439520.841971,0.0055951679476475185
thelio,12014,29a0b9e9-93cc-4683-a280-49ad90412793,20,1623439507.5505133,1623439520.8981853,0.00700668671065081
thelio,12228,44671a13-85dc-4e27-b378-29847e85c869,67,1623439515.4206114,1623439520.948538,0.008614845153785588
thelio,12021,668fcfe6-9a0e-4239-ae49-4ee339b55c70,70,1623439516.1737583,1623439520.9760554,0.00674199654526184
thelio,12021,79bc8b53-5aef-4038-8174-36a399cac368,72,1623439516.3932827,1623439521.0180845,0.008614818153962476
thelio,12037,d193189f-2156-45c9-af5d-fcab279e07d3,82,1623439517.8458874,1623439521.2448208,0.004300894790837077
thelio,12056,abbd969a-2140-4661-a4a9-7b46f691257a,86,1623439518.5659192,1623439521.2746296,0.002263603688985993
thelio,12048,a29b6e6e-e0ca-4175-b4a6-19a13bed7d33,84,1623439518.1011515,1623439521.3084476,0.00217449675389942
thelio,12045,4a7cdd32-679d-438e-9728-a68ae4b7d6fb,85,1623439518.446273,1623439521.3822696,0.0024922499937987137
thelio,12040,72bb9055-1a00-4a4b-9d9a-d80d679859aa,83,1623439517.962388,1623439521.5471733,0.002380672108421012
thelio,12052,64c69fc9-3e96-4fd3-b4eb-d3c5616e3368,74,1623439516.664438,1623439521.8884554,0.00674199654526184
thelio,12052,6da05331-5fff-48f8-92d1-f852d35d8c7a,81,1623439517.7788498,1623439521.8924878,0.003211860277436971
